USO,GLD,SPY,QQQ
96.55999755859375,125.1500015258789,235.9542694091797,150.05723571777344
98.72000122070312,124.81999969482422,237.44674682617188,151.51528930664062
98.95999908447266,125.45999908447266,238.44754028320312,151.7803955078125
98.4800033569336,125.33000183105469,240.0365447998047,153.3046875
99.04000091552734,125.30999755859375,240.4755401611328,153.9011688232422
100.55999755859375,124.7300033569336,241.01986694335938,153.91075134277344
101.44000244140625,125.02999877929688,240.65110778808594,153.55088806152344
101.5999984741211,125.44000244140625,242.40689086914062,154.60186767578125
102.95999908447266,126.95999908447266,243.9871368408203,155.73800659179688
102.08000183105469,127.16999816894531,243.15309143066406,155.29298400878906
102.23999786376953,126.13999938964844,245.47084045410156,156.96888732910156
102.08000183105469,125.86000061035156,245.05816650390625,156.9971923828125
101.76000213623047,126.41999816894531,246.17308044433594,157.4895477294922
102.23999786376953,126.6500015258789,248.17474365234375,159.1748046875
103.76000213623047,127.27999877929688,248.7014923095703,160.49087524414062
105.76000213623047,128.8300018310547,248.6049041748047,159.44943237304688
104.4800033569336,127.97000122070312,248.7102508544922,159.39260864257812
105.91999816894531,128.07000732421875,251.58969116210938,161.83534240722656
104.87999725341797,127.3499984741211,249.92176818847656,161.04953002929688
103.19999694824219,126.80000305175781,247.3583526611328,159.72398376464844
103.83999633789062,127.6500015258789,247.48106384277344,160.38673400878906
105.91999816894531,128.07000732421875,247.2002410888672,159.02340698242188
104.31999969482422,126.38999938964844,241.81869506835938,155.8516387939453
102.16000366210938,126.70999908447266,231.7052459716797,149.70693969726562
101.5999984741211,125.37999725341797,236.27041625976562,153.67398071289062
98.95999908447266,124.79000091552734,234.98861694335938,151.68569946289062
96.72000122070312,124.9800033569336,226.17446899414062,145.28536987304688
94.87999725341797,124.7699966430664,229.57192993164062,147.79441833496094
95.12000274658203,125.37000274658203,232.94308471679688,150.41700744628906
94.95999908447266,126.08000183105469,233.52252197265625,151.19345092773438
97.44000244140625,128.22999572753906,236.67417907714844,154.0243377685547
98.63999938964844,128.3800048828125,239.69410705566406,156.88363647460938
99.04000091552734,127.95999908447266,239.76437377929688,156.18299865722656
99.12000274658203,126.23999786376953,238.26318359375,156.4954071044922
98.31999969482422,125.66000366210938,237.07803344726562,156.05044555664062
100.72000122070312,126.30000305175781,237.3852996826172,156.031494140625
102.16000366210938,126.13999938964844,241.16909790039062,159.22219848632812
102.87999725341797,126.44999694824219,243.96957397460938,161.3335418701172
101.19999694824219,125.12999725341797,240.92324829101562,159.33578491210938
98.95999908447266,125.0,238.4825897216797,158.3132781982422
98.80000305175781,124.72000122070312,235.01498413085938,155.728515625
98.95999908447266,125.38999938964844,236.22642517089844,157.15821838378906
100.72000122070312,125.18000030517578,238.9567413330078,158.90032958984375
100.55999755859375,126.52999877929688,239.5624542236328,159.57252502441406
98.80000305175781,125.72000122070312,239.47463989257812,159.94180297851562
97.19999694824219,125.41999816894531,240.63360595703125,160.822265625
99.76000213623047,125.54000091552734,244.8211669921875,163.94667053222656
98.95999908447266,125.54000091552734,244.51373291015625,164.81773376464844
97.91999816894531,125.77999877929688,242.93362426757812,162.5738525390625
98.23999786376953,125.69999694824219,241.68702697753906,162.54541015625
98.72000122070312,124.9000015258789,241.42364501953125,162.40345764160156
100.4000015258789,124.5999984741211,241.68544006347656,161.92054748535156
100.4000015258789,124.87000274658203,238.41534423828125,158.46580505371094
102.4800033569336,124.30999755859375,238.82086181640625,158.9873809814453
105.44000244140625,126.4800033569336,238.3624725341797,158.29501342773438
103.5999984741211,125.9800033569336,232.4040985107422,154.38800048828125
106.23999786376953,127.61000061035156,227.45045471191406,150.3196258544922
105.68000030517578,128.27999877929688,233.67327880859375,155.90528869628906
104.63999938964844,127.48999786376953,229.69813537597656,150.8601837158203
104.31999969482422,125.7300033569336,229.01939392089844,149.12472534179688
104.72000122070312,125.79000091552734,231.94569396972656,151.85598754882812
101.91999816894531,127.26000213623047,226.9392547607422,147.47463989257812
102.4800033569336,126.30000305175781,229.84793090820312,149.1342315673828
102.55999755859375,126.44999694824219,232.30711364746094,151.486083984375
102.63999938964844,125.80000305175781,234.14047241210938,152.3489990234375
100.08000183105469,126.38999938964844,228.92245483398438,148.53677368164062
102.16000366210938,126.81999969482422,230.0507049560547,149.5799560546875
106.0,127.12000274658203,233.70860290527344,152.880126953125
107.5999984741211,128.11000061035156,232.48330688476562,151.99818420410156
108.16000366210938,126.62000274658203,234.39605712890625,153.82847595214844
108.4000015258789,127.44999694824219,233.70860290527344,153.03189086914062
107.04000091552734,127.62999725341797,235.63002014160156,154.1983184814453
107.27999877929688,127.75,238.15090942382812,157.51742553710938
111.04000091552734,127.8499984741211,238.32720947265625,157.8399200439453
110.16000366210938,127.5999984741211,237.00509643554688,156.38897705078125
110.0,126.62999725341797,234.99537658691406,153.9137725830078
111.36000061035156,125.62000274658203,234.960205078125,153.5250244140625
109.44000244140625,126.2300033569336,231.79591369628906,150.27224731445312
109.76000213623047,125.41000366210938,232.36883544921875,150.4524383544922
110.16000366210938,124.97000122070312,234.7310333251953,153.619873046875
109.83999633789062,125.5,234.95135498046875,153.7146759033203
110.4000015258789,124.58999633789062,233.1444549560547,152.6240997314453
108.87999725341797,123.70999908447266,233.55873107910156,154.3690185546875
109.36000061035156,123.6500015258789,231.98977661132812,153.4586181640625
110.55999755859375,124.27999877929688,231.47857666015625,153.43966674804688
112.72000122070312,124.54000091552734,234.4754180908203,156.35098266601562
112.80000305175781,124.56999969482422,235.26873779296875,157.6502227783203
112.4800033569336,124.58999633789062,235.26873779296875,157.48904418945312
114.95999908447266,124.33000183105469,237.54270935058594,159.20550537109375
115.27999877929688,125.18000030517578,239.763916015625,160.8555908203125
114.0,125.0,240.49546813964844,160.70388793945312
115.04000091552734,124.48999786376953,240.610107421875,160.97891235351562
115.19999694824219,122.4800033569336,238.9530029296875,159.19601440429688
115.68000030517578,122.29000091552734,239.9578094482422,160.2486572265625
115.91999816894531,122.36000061035156,239.75509643554688,159.6322479248047
115.44000244140625,122.41000366210938,239.15579223632812,158.80722045898438
117.36000061035156,122.4800033569336,240.95382690429688,159.69862365722656
