domain_en,HOLD,TACO,total,taco_rate,avg_hardness,uso_5d,gld_5d,spy_5d
Monetary Policy,0,1,1,100.0,4.0,1.1,-0.4,1.6
Tariff / Energy,0,1,1,100.0,7.0,-1.2,1.5,-1.4
Tariff / Tech,1,2,3,66.7,4.67,0.7,0.17,0.63
Tariff / Trade,3,11,14,78.6,6.36,-0.54,0.52,-0.03
Tech / National Security,0,1,1,100.0,8.0,0.4,1.2,-0.8
